date,pmi_yoy_diff,fai_yoy,retail_yoy,trade_yoy_weighted,pmi_yoy_diff_filled,trade_yoy_weighted_filled,fai_yoy_filled,retail_yoy_filled,raw_growth_factor,growth_factor_hp
2008-01-01,-3.811252,,21.200000,27.051291,-3.811252,27.051291,,21.200000,,
2008-02-01,0.564972,,19.100000,20.063865,0.564972,20.063865,,19.100000,,
2008-03-01,4.099822,,21.500000,27.796658,4.099822,27.796658,,21.500000,,
2008-04-01,1.023891,,22.000000,23.926227,1.023891,23.926227,,22.000000,,
2008-05-01,-4.308797,,21.600000,33.505337,-4.308797,33.505337,,21.600000,,
2008-06-01,-4.587156,,23.000000,23.445421,-4.587156,23.445421,,23.000000,,
2008-07-01,-9.193246,,23.300000,29.953549,-9.193246,29.953549,,23.300000,,
2008-08-01,-10.370370,,23.200000,21.980962,-10.370370,21.980962,,23.200000,,
2008-09-01,-8.734403,,23.200000,21.412060,-8.734403,21.412060,,23.200000,,
2008-10-01,-16.165414,,22.000000,17.686480,-16.165414,17.686480,,22.000000,,
2008-11-01,-29.963899,,20.800000,-8.392652,-29.963899,-8.392652,,20.800000,,
2008-12-01,-25.497288,,19.000000,-10.083292,-25.497288,-10.083292,,19.000000,,
2009-01-01,-14.528302,,18.500000,-26.769626,-14.528302,-26.769626,,18.500000,,
2009-02-01,-8.239700,,11.600000,-24.930995,-8.239700,-24.930995,,11.600000,,
2009-03-01,-10.273973,,14.700000,-20.641749,-10.273973,-20.641749,,14.700000,,
2009-04-01,-9.628378,,14.800000,-22.784613,-9.628378,-22.784613,,14.800000,,
2009-05-01,-0.375235,,15.200000,-25.848944,-0.375235,-25.848944,,15.200000,,
2009-06-01,2.307692,,15.000000,-17.434799,2.307692,-17.434799,,15.000000,,
2009-07-01,10.123967,,15.200000,-19.165024,10.123967,-19.165024,,15.200000,,
2009-08-01,11.570248,,15.400000,-20.462270,11.570248,-20.462270,,15.400000,,
2009-09-01,6.054688,,15.500000,-9.695536,6.054688,-9.695536,,15.500000,,
2009-10-01,23.766816,,16.200000,-10.549304,23.766816,-10.549304,,16.200000,,
2009-11-01,42.268041,,15.800000,11.470799,42.268041,11.470799,,15.800000,,
2009-12-01,37.378641,,17.500000,35.351479,37.378641,35.351479,,17.500000,,
2010-01-01,23.178808,,14.000000,51.018723,23.178808,51.018723,,14.000000,,
2010-02-01,6.122449,,22.100000,45.220978,6.122449,45.220978,,22.100000,,
2010-03-01,5.152672,,18.000000,45.801849,5.152672,45.801849,,18.000000,,
2010-04-01,4.112150,,18.500000,40.032232,4.112150,40.032232,,18.500000,,
2010-05-01,1.506591,,18.700000,48.408006,1.506591,48.408006,,18.700000,,
2010-06-01,-2.067669,,18.300000,39.385082,-2.067669,39.385082,,18.300000,,
2010-07-01,-3.939962,,17.900000,31.243374,-3.939962,31.243374,,17.900000,,
2010-08-01,-4.259259,,18.400000,34.769005,-4.259259,34.769005,,18.400000,,
2010-09-01,-0.920810,,18.800000,24.630896,-0.920810,24.630896,,18.800000,,
2010-10-01,-0.905797,,18.600000,23.966939,-0.905797,23.966939,,18.600000,,
2010-11-01,0.000000,,18.700000,36.187068,0.000000,36.187068,,18.700000,,
2010-12-01,-4.770318,,19.100000,21.579420,-4.770318,21.579420,,19.100000,,
2011-01-01,-5.197133,,19.900000,44.204359,-5.197133,44.204359,,19.900000,,
2011-02-01,0.384615,,11.600000,11.261125,0.384615,11.261125,,11.600000,,
2011-03-01,-3.085299,,17.400000,31.544192,-3.085299,31.544192,,17.400000,,
2011-04-01,-5.026930,,17.100000,26.026094,-5.026930,26.026094,,17.100000,,
2011-05-01,-3.525046,,16.900000,23.717412,-3.525046,23.717412,,16.900000,,
2011-06-01,-2.303263,,17.700000,18.527807,-2.303263,18.527807,,17.700000,,
2011-07-01,-0.976562,,17.200000,21.526544,-0.976562,21.526544,,17.200000,,
2011-08-01,-1.547389,,17.000000,27.196101,-1.547389,27.196101,,17.000000,,
2011-09-01,-4.832714,,17.700000,18.915105,-4.832714,18.915105,,17.700000,,
2011-10-01,-7.861060,,17.200000,21.934126,-7.861060,21.934126,,17.200000,,
2011-11-01,-11.231884,,17.300000,17.769702,-11.231884,17.769702,,17.300000,,
2011-12-01,-6.679035,,18.100000,12.639700,-6.679035,12.639700,,18.100000,,
2012-01-01,-4.536862,,,-7.159515,-4.536862,-7.159515,,16.650000,,
2012-02-01,-2.298851,,,30.281458,-2.298851,30.281458,,15.925000,,
2012-03-01,-0.561798,,15.200000,7.129528,-0.561798,7.129528,,15.200000,,
2012-04-01,0.756144,,14.100000,2.737572,0.756144,2.737572,,14.100000,,
2012-05-01,-3.076923,,13.800000,14.070752,-3.076923,14.070752,,13.800000,,
2012-06-01,-1.375246,,13.700000,9.041279,-1.375246,9.041279,,13.700000,,
2012-07-01,-1.183432,,13.100000,2.708483,-1.183432,2.708483,,13.100000,,
2012-08-01,-3.339882,,13.200000,0.264556,-3.339882,0.264556,,13.200000,,
